distance_km,traffic_index,driver_exp_months,delay
405,0,167,0
683,3,128,1
241,3,4,0
569,2,33,1
247,3,217,0
95,4,48,0
80,3,213,0
770,10,65,1
597,2,77,1
138,8,145,1
383,3,145,1
604,4,231,1
593,2,1,1
472,10,209,1
314,2,196,0
790,6,226,1
442,8,110,1
188,1,12,0
769,6,120,1
279,9,183,1
502,2,55,0
290,9,100,1
346,10,28,1
411,5,171,1
516,9,91,1
180,10,11,1
589,2,39,0
755,6,37,1
295,1,184,0
449,6,182,1
234,8,125,1
670,5,190,1
724,2,11,1
454,0,195,0
748,10,180,1
303,2,180,0
316,4,174,0
677,5,96,1
64,9,123,1
35,7,149,1
683,5,12,1
555,7,191,1
101,1,57,0
273,5,153,1
758,5,108,1
466,0,154,0
52,3,124,0
398,6,195,1
127,3,90,0
68,0,98,0
787,0,36,1
439,10,56,1
283,1,26,0
309,8,186,1
217,5,74,0
121,9,185,1
620,3,139,0
737,1,29,1
730,7,233,1
32,7,34,0
264,9,191,1
448,9,173,1
365,7,93,1
146,4,238,0
387,10,170,1
173,8,2,1
107,10,168,1
190,4,31,0
691,5,112,1
138,10,150,1
199,4,53,0
143,8,89,1
178,6,174,1
793,6,101,1
406,0,44,0
432,5,155,1
251,5,125,0
428,6,36,1
347,0,141,0
751,8,162,1
497,10,205,1
108,3,170,0
384,7,136,1
595,0,192,1
280,5,144,0
436,8,18,1
356,9,184,1
38,7,164,1
252,8,17,1
423,10,23,1
756,8,111,1
182,4,219,0
106,10,227,1
176,8,133,1
332,8,207,1
646,5,167,1
696,7,96,1
456,10,235,1
463,8,139,1
357,4,193,1
263,10,166,1
660,0,238,0
454,1,119,0
548,5,223,1
498,9,35,1
524,2,65,1
704,6,12,1
392,4,234,0
795,9,108,1
711,10,214,1
778,0,150,1
407,8,131,1
622,10,194,1
754,0,139,0
780,6,89,1
439,10,218,1
50,6,159,1
696,10,183,1
152,3,13,0
254,8,118,1
668,7,139,1
32,10,64,1
138,7,4,1
614,1,68,1
739,2,39,1
174,8,14,1
658,7,91,1
135,6,85,0
777,3,233,0
76,4,228,0
717,8,188,1
125,6,193,1
234,6,122,1
414,1,61,0
369,0,211,0
392,5,171,1
52,5,220,0
463,2,15,0
343,2,95,0
84,6,215,0
294,9,223,1
698,6,152,1
773,1,129,1
695,0,148,0
37,6,123,0
579,0,13,1
319,5,211,0
470,5,219,1
563,7,191,1
296,10,90,1
148,5,115,0
602,6,12,1
19,4,56,0
253,2,132,0
199,6,59,1
15,7,219,1
229,7,158,1
571,8,42,1
465,6,205,1
277,9,51,1
216,7,211,1
510,9,126,1
60,5,15,0
162,1,63,0
298,6,166,1
331,0,152,0
569,9,160,1
162,0,77,0
374,8,87,1
390,4,72,0
142,0,163,0
513,4,143,1
366,6,1,1
469,10,20,1
646,10,156,1
265,1,213,0
707,6,107,1
306,10,195,1
508,5,118,1
737,8,238,1
572,9,226,1
184,1,52,0
58,9,36,1
443,0,30,0
73,7,30,1
325,6,139,1
215,5,34,0
626,5,47,1
717,7,52,1
340,5,103,1
164,1,122,0
538,4,210,1
575,8,193,1
467,9,40,1
511,3,37,0
781,6,152,1
49,2,44,0
516,10,154,1
67,2,50,0
718,5,204,1
241,6,13,1
179,7,196,1
144,7,159,1
102,5,87,1
417,6,133,1
47,9,209,1
230,3,87,0
132,6,11,1
722,3,82,1
504,9,17,1
204,0,91,0
63,6,137,0
274,4,39,1
521,6,170,1
611,8,169,1
669,8,22,1
488,10,238,1
515,2,180,0
345,5,65,1
450,0,174,0
526,5,147,1
515,8,221,1
273,5,147,0
168,6,31,1
337,9,162,1
546,3,237,1
503,0,2,0
32,1,234,0
656,1,43,1
790,1,181,0
376,9,95,1
409,1,92,0
733,2,54,0
532,3,104,0
624,6,80,1
715,10,155,1
757,3,213,1
623,6,29,1
508,7,213,1
52,10,29,1
269,0,42,0
634,1,162,0
573,0,147,0
608,10,78,1
764,1,74,1
733,8,194,1
95,1,40,0
158,3,232,0
18,9,134,1
437,5,91,1
496,0,205,0
276,4,147,0
442,8,152,1
631,4,76,1
391,10,84,1
719,5,236,1
101,0,86,0
229,5,144,0
225,8,62,1
710,4,194,0
711,1,47,1
750,9,134,1
563,10,93,1
795,1,211,1
159,0,96,0
476,3,99,1
722,4,24,1
28,9,58,1
671,7,148,1
605,3,176,1
643,8,170,1
68,5,89,0
150,9,155,1
748,8,39,1
684,6,12,1
765,9,173,1
705,10,172,1
423,1,129,0
423,0,239,0
469,3,156,0
606,1,79,0
370,0,223,0
616,8,46,1
150,5,138,1
346,0,147,0
91,4,27,0
443,8,200,1
553,8,79,1
398,10,85,1
320,4,152,1
156,0,164,0
714,0,192,1
330,3,12,0
646,8,120,1
526,9,169,1
672,5,39,1
619,3,221,0
210,3,70,0
583,10,126,1
87,10,89,1
131,6,134,1
596,8,106,1
34,3,38,0
215,3,230,0
478,7,99,1
442,7,214,1
746,2,223,1
70,10,150,1
352,8,24,1
269,5,72,1
24,5,213,0
234,0,162,0
752,1,85,1
415,9,54,1
651,7,8,1
769,7,5,1
469,9,76,1
721,7,142,1
468,4,65,0
377,2,65,0
666,5,205,1
46,7,219,1
746,10,156,1
667,10,198,1
410,3,186,0
383,4,160,1
218,6,12,1
160,2,37,0
466,8,156,1
765,10,68,1
299,2,211,0
183,8,129,1
540,0,125,0
331,8,98,1
289,9,180,1
344,7,2,1
471,2,78,0
465,3,119,1
679,9,97,1
657,8,108,1
766,10,147,1
632,4,145,1
528,3,86,1
389,9,190,1
667,2,175,1
306,10,36,1
588,6,219,1
391,10,233,1
364,4,235,0
781,3,196,1
604,4,109,1
308,1,24,0
112,3,154,0
481,2,31,1
759,4,3,1
161,1,23,0
677,2,152,0
410,2,53,0
82,7,2,1
763,5,161,1
202,2,196,0
56,0,204,0
438,6,131,1
250,8,85,1
626,8,39,1
466,7,111,1
581,8,32,1
242,3,75,0
379,9,151,1
784,3,57,1
289,5,53,1
722,5,132,1
39,10,99,1
33,1,36,0
112,3,15,0
655,9,44,1
317,9,238,1
211,4,135,0
434,4,96,0
122,8,156,1
296,2,187,0
737,8,138,1
553,7,207,1
739,6,53,1
688,3,116,1
378,9,122,1
652,10,99,1
567,0,91,1
112,7,176,1
641,4,104,1
247,10,190,1
500,6,62,1
389,6,14,1
597,2,59,1
769,6,4,1
71,2,224,0
114,9,193,1
16,7,181,1
117,10,58,1
499,0,226,0
56,0,31,0
685,3,114,1
360,4,95,0
668,9,25,1
349,3,132,0
365,1,53,1
576,6,203,1
621,10,4,1
230,7,111,1
763,3,72,1
264,5,230,1
93,2,59,0
405,10,233,1
241,4,162,0
270,5,194,0
116,3,100,0
770,8,234,1
117,0,52,0
414,9,153,1
425,8,177,1
144,3,70,0
546,8,35,1
46,10,95,1
264,2,194,0
659,1,29,1
526,7,205,1
635,1,61,1
639,9,188,1
499,7,154,1
53,7,124,1
379,5,20,1
66,9,128,1
124,4,176,0
130,3,113,0
205,5,75,0
447,7,238,1
603,1,94,0
205,10,137,1
199,8,237,1
409,6,3,1
256,10,176,1
520,4,56,1
177,4,146,0
77,2,143,0
247,7,19,1
514,7,179,1
549,1,150,0
151,0,118,0
523,7,219,1
297,10,10,1
112,7,116,1
294,5,69,1
159,6,74,0
777,0,14,0
671,3,97,1
121,4,196,0
340,10,78,1
630,4,193,1
101,1,209,0
78,10,49,1
87,2,58,0
103,0,102,0
698,4,145,1
427,7,170,1
690,7,174,1
269,8,51,1
404,2,51,0
152,2,234,0
615,2,53,1
496,9,221,1
596,8,114,1
268,2,122,0
674,3,126,1
101,8,151,1
459,9,38,1
614,3,239,1
673,2,29,1
259,6,160,1
106,1,144,0
683,5,226,1
279,0,201,0
579,9,14,1
788,5,160,1
365,3,34,0
491,4,16,1
332,3,8,0
14,10,61,1
674,3,102,1
544,3,75,1
200,4,82,0
503,8,4,1
720,8,94,1
304,0,70,0
357,1,170,0
694,8,65,1
87,3,87,0
620,3,51,1
528,10,87,1
724,10,39,1
470,0,45,1
226,6,140,0
511,3,123,1
683,5,48,1
708,10,108,1
395,9,239,1
29,5,29,0
269,9,37,1
386,6,149,1
23,0,207,0
549,4,115,1
532,7,130,1
350,3,123,0
745,7,76,1
762,10,210,1
712,9,120,1
416,3,142,1
722,1,228,1
514,10,145,1
356,3,101,0
257,9,90,1
400,0,226,0
356,6,75,1
224,2,18,0
615,1,147,0
283,3,160,1
72,9,91,1
335,5,141,1
530,5,160,1
47,5,26,0
330,1,152,1
208,9,178,1
746,3,193,1
96,2,173,0
278,10,65,1
126,7,94,0
287,1,20,0
345,5,159,1
336,8,201,1
555,6,23,1
171,5,192,0
530,10,180,1
345,5,62,1
421,4,230,1
47,7,136,1
605,6,126,1
531,9,85,1
741,5,59,1
614,5,184,1
670,8,126,1
278,10,36,1
228,0,90,0
561,4,29,1
674,3,113,1
471,0,93,0
240,2,181,0
109,7,142,1
659,5,7,1
466,9,116,1
732,9,78,1
18,6,71,1
428,8,201,1
635,9,5,1
373,6,39,1
497,9,19,1
356,5,0,1
173,6,226,1
533,2,145,0
426,10,81,1
751,10,147,1
644,2,53,1
56,3,167,0
106,6,110,0
162,8,130,1
38,5,213,0
88,6,167,0
90,5,231,0
107,3,162,0
799,2,76,1
736,9,42,1
199,8,198,1
87,2,188,0
688,5,121,1
527,0,10,0
226,5,3,0
673,9,15,1
751,7,68,1
196,5,229,1
352,3,126,0
624,2,122,0
699,3,19,0
734,8,40,1
525,1,223,0
163,0,65,0
322,6,142,1
69,0,14,0
637,1,198,0
722,4,223,1
403,2,59,0
149,2,172,0
344,1,162,0
43,4,49,0
388,3,9,1
50,6,191,0
324,3,77,0
526,2,112,1
705,3,67,1
116,3,56,0
190,7,153,1
725,6,173,1
549,3,31,1
235,6,124,1
220,10,146,1
497,8,188,1
476,7,28,1
344,0,185,0
329,8,151,1
639,5,2,1
353,0,93,0
260,3,239,0
216,2,44,0
723,2,46,1
524,9,112,1
599,10,122,1
72,7,40,1
380,4,103,0
774,8,21,1
180,8,235,1
436,7,161,1
490,0,20,0
724,10,122,1
133,2,61,0
99,7,124,1
665,5,18,1
727,0,197,1
47,9,165,1
173,5,40,0
739,2,56,1
646,2,90,1
789,8,116,1
232,3,126,0
551,5,85,1
577,6,238,1
447,10,74,1
663,5,223,1
61,10,29,1
389,6,147,1
544,3,155,1
88,8,215,1
169,0,91,0
498,10,136,1
488,3,193,0
727,8,106,1
298,8,124,1
488,0,215,0
149,0,76,0
13,7,207,1
82,1,141,0
347,4,202,0
669,10,195,1
405,4,96,1
610,2,84,0
54,8,129,1
274,4,4,0
743,2,76,1
196,2,141,0
13,2,20,0
280,6,48,1
146,9,218,1
537,6,148,1
496,3,22,0
12,7,239,1
36,0,164,0
287,10,78,1
291,1,33,0
215,8,104,1
90,7,107,1
643,1,236,1
531,4,116,0
330,1,32,0
33,3,231,0
172,1,38,0
467,8,198,1
46,2,50,0
490,7,5,1
700,1,1,1
657,4,220,1
439,7,40,1
201,8,15,1
761,7,185,1
90,3,75,0
181,4,144,0
107,10,221,1
150,5,27,0
280,4,18,1
61,4,48,0
334,5,152,1
694,7,99,1
100,3,230,0
631,8,210,1
431,6,218,1
745,1,103,1
597,10,139,1
152,9,133,1
550,1,5,0
378,5,101,0
265,8,200,1
494,7,117,1
472,3,230,0
208,5,156,0
581,2,190,0
432,4,131,0
448,2,138,0
58,6,109,0
775,4,146,1
695,5,111,1
142,9,183,1
476,7,117,1
249,6,77,1
326,3,210,0
750,2,57,1
150,1,153,0
170,10,137,1
710,6,116,1
641,8,176,1
317,4,90,1
432,9,151,1
151,1,234,0
633,3,197,1
567,8,114,1
636,9,87,1
366,1,153,1
364,9,221,1
106,1,85,0
68,2,98,0
742,3,237,1
371,3,9,0
239,10,123,1
144,1,198,0
429,4,4,1
459,10,88,1
725,7,209,1
192,10,38,1
207,10,92,1
495,3,28,0
745,8,228,1
520,5,109,1
252,9,136,1
713,8,147,1
256,9,107,1
378,0,134,0
639,6,128,1
597,1,97,1
575,7,182,1
241,7,12,1
222,0,183,0
511,3,209,0
250,5,33,1
140,4,193,0
270,9,228,1
200,9,49,1
42,1,146,0
550,0,128,1
473,0,40,0
403,9,154,1
617,6,8,1
579,7,198,1
211,10,53,1
448,4,66,0
337,6,115,1
167,6,14,0
