distance_km,traffic_index,driver_exp_months,delay
184,1,52,0
101,0,86,0
319,10,50,1
799,2,99,1
349,4,70,0
714,0,192,1
150,1,153,0
241,7,12,1
603,1,94,0
294,5,69,1
411,5,171,1
108,3,170,0
531,4,116,0
380,4,103,0
745,8,228,1
781,3,196,1
497,10,205,1
524,2,65,1
737,8,138,1
635,1,61,1
516,7,176,1
234,8,125,1
668,5,114,1
319,9,87,1
443,2,177,0
352,8,24,1
683,5,12,1
790,6,226,1
131,6,134,1
174,8,14,1
467,3,80,1
178,10,92,1
116,3,56,0
80,3,213,0
653,9,85,1
643,1,236,1
746,10,156,1
732,9,78,1
504,7,89,1
516,9,91,1
87,3,87,0
521,6,170,1
432,5,155,1
290,9,134,1
273,5,147,0
561,4,29,1
768,7,167,1
49,2,44,0
700,1,1,1
780,6,89,1
604,4,109,1
15,7,219,1
712,9,120,1
63,6,137,0
373,0,108,0
498,10,136,1
698,4,145,1
655,9,44,1
317,9,149,1
428,2,147,0
682,9,220,1
332,3,8,0
572,0,39,0
569,9,160,1
571,8,42,1
239,10,123,1
199,4,53,0
616,8,46,1
106,1,144,0
23,0,207,0
38,7,164,1
662,10,164,1
631,8,210,1
555,7,191,1
140,0,45,0
69,0,14,0
671,7,148,1
503,4,41,1
39,10,99,1
46,2,50,0
459,10,88,1
390,4,72,0
54,7,208,1
205,2,202,0
683,5,48,1
392,5,171,1
229,5,144,0
614,3,239,1
527,0,10,0
773,10,217,1
142,0,204,0
781,6,152,1
592,1,136,0
121,9,185,1
555,6,23,1
593,2,1,1
283,1,26,0
626,8,39,1
532,7,130,1
784,2,51,1
758,10,75,1
112,7,176,1
296,0,218,0
68,5,89,0
142,0,163,0
670,5,190,1
466,0,154,0
211,4,135,0
66,9,128,1
369,0,211,0
615,1,147,0
694,8,65,1
490,7,5,1
240,2,181,0
416,3,142,1
379,5,9,0
508,2,22,0
531,4,71,1
146,2,155,0
317,1,194,0
32,7,34,0
16,7,181,1
660,0,238,0
631,4,76,1
511,3,209,0
694,7,99,1
737,1,29,1
637,1,198,0
648,4,38,1
731,8,209,1
297,10,10,1
442,7,214,1
159,6,74,0
636,3,68,1
483,2,156,0
230,7,111,1
33,0,127,0
265,8,200,1
777,3,233,0
426,10,81,1
144,1,177,0
476,7,28,1
33,1,36,0
696,7,96,1
350,3,123,0
356,6,75,1
349,3,132,0
130,3,113,0
745,7,76,1
391,10,84,1
32,1,234,0
473,0,40,0
753,2,231,1
95,1,40,0
563,7,191,1
287,1,20,0
391,8,184,1
257,9,90,1
575,8,193,1
138,8,145,1
88,6,167,0
403,9,154,1
528,10,87,1
366,1,153,1
181,4,144,0
727,8,106,1
765,9,173,1
118,10,220,1
423,10,23,1
150,5,27,0
173,8,2,1
